statut_compte_courant;duree_mois;credit_history;objectif_credit;montant_credit;etat_epargne;anciennete_emploi;taux_remboursement;situation_personnelle;autres_garants;anciennete_logement;importance_biens;age;autres_plans_paiement;type_logement;nombre_credits_existants;categorie_emploi;nombre_personnes_a_charge;possede_telephone;travailleur_etranger;classe
<0;30;aucun crédit/tout remboursé;affaires;8072;épargne inconnue;<1;2;homme célibataire;aucun;3;voiture;25;banque;propriétaire;3;qualifié;1;aucun;oui;bon
0<=X<200;24;existant remboursé;voiture occasion;12579;<100;>=7;4;femme div/dép/mariée;aucun;2;pas de propriété;44;aucun;gratuit;1;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
pas_de_compte;24;existant remboursé;radio/tv;3430;500<=X<1000;>=7;3;homme célibataire;aucun;2;voiture;31;aucun;propriétaire;1;qualifié;2;oui;oui;bon
pas_de_compte;9;critique/autre crédit existant;nouvelle voiture;2134;<100;1<=X<4;4;homme célibataire;aucun;4;voiture;48;aucun;propriétaire;3;qualifié;1;oui;oui;bon
<0;6;existant remboursé;radio/tv;2647;500<=X<1000;1<=X<4;2;homme célibataire;aucun;3;immobilier;44;aucun;locataire;1;qualifié;2;aucun;oui;bon
<0;10;critique/autre crédit existant;nouvelle voiture;2241;<100;<1;1;homme célibataire;aucun;3;immobilier;48;aucun;locataire;2;unqualifié resident;2;aucun;non;bon
0<=X<200;12;critique/autre crédit existant;voiture occasion;1804;100<=X<500;<1;3;homme célibataire;aucun;4;assurance vie;44;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
pas_de_compte;10;critique/autre crédit existant;meubles/équipement;2069;épargne inconnue;1<=X<4;2;homme marié/veuf;aucun;1;voiture;26;aucun;propriétaire;2;qualifié;1;aucun;non;bon
<0;6;existant remboursé;meubles/équipement;1374;<100;1<=X<4;1;homme célibataire;aucun;2;immobilier;36;banque;propriétaire;1;unqualifié resident;1;oui;oui;bon
pas_de_compte;6;aucun crédit/tout remboursé;radio/tv;426;<100;>=7;4;homme marié/veuf;aucun;4;voiture;39;aucun;propriétaire;1;unqualifié resident;1;aucun;oui;bon
>=200;12;tout remboursé;radio/tv;409;>=1000;1<=X<4;3;femme div/dép/mariée;aucun;3;immobilier;42;aucun;locataire;2;qualifié;1;aucun;oui;bon
0<=X<200;7;existant remboursé;radio/tv;2415;<100;1<=X<4;3;homme célibataire;garant;2;immobilier;34;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
<0;60;retards antérieurs;affaires;6836;<100;>=7;3;homme célibataire;aucun;4;pas de propriété;63;aucun;propriétaire;2;qualifié;1;oui;oui;mauvais
0<=X<200;18;existant remboursé;affaires;1913;>=1000;<1;3;homme marié/veuf;aucun;3;immobilier;36;banque;propriétaire;1;qualifié;1;oui;oui;bon
<0;24;existant remboursé;meubles/équipement;4020;<100;1<=X<4;2;homme célibataire;aucun;2;voiture;27;magasins;propriétaire;1;qualifié;1;aucun;oui;bon
0<=X<200;18;existant remboursé;nouvelle voiture;5866;100<=X<500;1<=X<4;2;homme célibataire;aucun;2;voiture;30;aucun;propriétaire;2;qualifié;1;oui;oui;bon
pas_de_compte;12;critique/autre crédit existant;affaires;1264;épargne inconnue;>=7;4;homme célibataire;aucun;4;pas de propriété;57;aucun;locataire;1;unqualifié resident;1;aucun;oui;bon
>=200;12;existant remboursé;meubles/équipement;1474;<100;<1;4;femme div/dép/mariée;aucun;1;assurance vie;33;banque;propriétaire;1;hautement qualifié/indépendant/cadre;1;oui;oui;bon
0<=X<200;45;critique/autre crédit existant;radio/tv;4746;<100;<1;4;homme célibataire;aucun;2;assurance vie;25;aucun;propriétaire;2;unqualifié resident;1;aucun;oui;mauvais
pas_de_compte;48;critique/autre crédit existant;études;6110;<100;1<=X<4;1;homme célibataire;aucun;3;pas de propriété;31;banque;gratuit;1;qualifié;1;oui;oui;bon
>=200;18;existant remboursé;radio/tv;2100;<100;1<=X<4;4;homme célibataire;co-emprunteur;2;immobilier;37;magasins;propriétaire;1;qualifié;1;aucun;oui;mauvais
>=200;10;existant remboursé;électroménager;1225;<100;1<=X<4;2;homme célibataire;aucun;2;voiture;37;aucun;propriétaire;1;qualifié;1;oui;oui;bon
0<=X<200;9;existant remboursé;radio/tv;458;<100;1<=X<4;4;homme célibataire;aucun;3;immobilier;24;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
pas_de_compte;30;existant remboursé;radio/tv;2333;500<=X<1000;>=7;4;homme célibataire;aucun;2;voiture;30;banque;propriétaire;1;hautement qualifié/indépendant/cadre;1;aucun;oui;bon
0<=X<200;12;existant remboursé;radio/tv;1158;500<=X<1000;1<=X<4;3;homme divorcé/séparé;aucun;1;voiture;26;aucun;propriétaire;1;qualifié;1;oui;oui;bon
0<=X<200;18;retards antérieurs;réparations;6204;<100;1<=X<4;2;homme célibataire;aucun;4;immobilier;44;aucun;propriétaire;1;unqualifié resident;2;oui;oui;bon
<0;30;critique/autre crédit existant;voiture occasion;6187;100<=X<500;4<=X<7;1;homme marié/veuf;aucun;4;voiture;24;aucun;locataire;2;qualifié;1;aucun;oui;bon
<0;48;critique/autre crédit existant;voiture occasion;6143;<100;>=7;4;femme div/dép/mariée;aucun;4;pas de propriété;58;magasins;gratuit;2;unqualifié resident;1;aucun;oui;mauvais
pas_de_compte;11;critique/autre crédit existant;nouvelle voiture;1393;<100;<1;4;femme div/dép/mariée;aucun;4;voiture;35;aucun;propriétaire;2;hautement qualifié/indépendant/cadre;1;aucun;oui;bon
pas_de_compte;36;existant remboursé;radio/tv;2299;500<=X<1000;>=7;4;homme célibataire;aucun;4;voiture;39;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
<0;6;existant remboursé;voiture occasion;1352;500<=X<1000;sans emploi;1;femme div/dép/mariée;aucun;2;assurance vie;23;aucun;locataire;1;sans emploi/non qualif non résident;1;oui;oui;bon
pas_de_compte;11;critique/autre crédit existant;nouvelle voiture;7228;<100;1<=X<4;1;homme célibataire;aucun;4;assurance vie;39;aucun;propriétaire;2;unqualifié resident;1;aucun;oui;bon
pas_de_compte;12;existant remboursé;radio/tv;2073;100<=X<500;1<=X<4;4;femme div/dép/mariée;co-emprunteur;2;immobilier;28;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
0<=X<200;24;retards antérieurs;meubles/équipement;2333;épargne inconnue;<1;4;homme célibataire;aucun;2;assurance vie;29;banque;propriétaire;1;unqualifié resident;1;aucun;oui;bon
0<=X<200;27;retards antérieurs;voiture occasion;5965;<100;>=7;1;homme célibataire;aucun;2;voiture;30;aucun;propriétaire;2;hautement qualifié/indépendant/cadre;1;oui;oui;bon
pas_de_compte;12;existant remboursé;radio/tv;1262;<100;1<=X<4;3;homme célibataire;aucun;2;voiture;25;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
pas_de_compte;18;existant remboursé;voiture occasion;3378;épargne inconnue;1<=X<4;2;homme célibataire;aucun;1;assurance vie;31;aucun;propriétaire;1;qualifié;1;oui;oui;bon
0<=X<200;36;retards antérieurs;nouvelle voiture;2225;<100;>=7;4;homme célibataire;aucun;4;pas de propriété;57;banque;gratuit;2;qualifié;1;oui;oui;mauvais
pas_de_compte;6;tout remboursé;nouvelle voiture;783;épargne inconnue;1<=X<4;1;homme célibataire;garant;2;immobilier;26;magasins;propriétaire;1;unqualifié resident;2;aucun;oui;bon
0<=X<200;12;existant remboursé;radio/tv;6468;épargne inconnue;sans emploi;2;homme célibataire;aucun;1;pas de propriété;52;aucun;propriétaire;1;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
pas_de_compte;36;critique/autre crédit existant;radio/tv;9566;<100;1<=X<4;2;femme div/dép/mariée;aucun;2;voiture;31;magasins;propriétaire;2;qualifié;1;aucun;oui;bon
>=200;18;existant remboursé;nouvelle voiture;1961;<100;>=7;3;femme div/dép/mariée;aucun;2;voiture;23;aucun;propriétaire;1;hautement qualifié/indépendant/cadre;1;aucun;oui;bon
<0;36;critique/autre crédit existant;meubles/équipement;6229;<100;<1;4;femme div/dép/mariée;co-emprunteur;4;pas de propriété;23;aucun;locataire;2;unqualifié resident;1;oui;oui;mauvais
0<=X<200;9;existant remboursé;affaires;1391;<100;1<=X<4;2;homme marié/veuf;aucun;1;immobilier;27;banque;propriétaire;1;qualifié;1;oui;oui;bon
0<=X<200;15;critique/autre crédit existant;radio/tv;1537;épargne inconnue;>=7;4;homme célibataire;garant;4;immobilier;50;aucun;propriétaire;2;qualifié;1;oui;oui;bon
0<=X<200;36;aucun crédit/tout remboursé;affaires;1953;<100;>=7;4;homme célibataire;aucun;4;pas de propriété;61;aucun;gratuit;1;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
0<=X<200;48;aucun crédit/tout remboursé;affaires;14421;<100;1<=X<4;2;homme célibataire;aucun;2;voiture;25;aucun;propriétaire;1;qualifié;1;oui;oui;mauvais
pas_de_compte;24;existant remboursé;radio/tv;3181;<100;<1;4;femme div/dép/mariée;aucun;4;assurance vie;26;aucun;propriétaire;1;qualifié;1;oui;oui;bon
pas_de_compte;27;existant remboursé;réparations;5190;épargne inconnue;>=7;4;homme célibataire;aucun;4;assurance vie;48;aucun;propriétaire;4;qualifié;2;oui;oui;bon
pas_de_compte;12;existant remboursé;radio/tv;2171;<100;<1;2;femme div/dép/mariée;aucun;2;voiture;29;banque;propriétaire;1;qualifié;1;aucun;oui;bon
0<=X<200;12;existant remboursé;nouvelle voiture;1007;>=1000;1<=X<4;4;homme marié/veuf;aucun;1;immobilier;22;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
pas_de_compte;36;existant remboursé;études;1819;<100;1<=X<4;4;homme célibataire;aucun;4;pas de propriété;37;magasins;gratuit;1;qualifié;1;oui;oui;mauvais
pas_de_compte;36;existant remboursé;radio/tv;2394;épargne inconnue;1<=X<4;4;femme div/dép/mariée;aucun;4;voiture;25;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
pas_de_compte;36;existant remboursé;voiture occasion;8133;<100;1<=X<4;1;femme div/dép/mariée;aucun;2;assurance vie;30;banque;propriétaire;1;qualifié;1;aucun;oui;bon
pas_de_compte;7;critique/autre crédit existant;radio/tv;730;épargne inconnue;>=7;4;homme célibataire;aucun;2;assurance vie;46;aucun;locataire;2;unqualifié resident;1;oui;oui;bon
<0;8;critique/autre crédit existant;autre;1164;<100;>=7;3;homme célibataire;aucun;4;pas de propriété;51;banque;gratuit;2;hautement qualifié/indépendant/cadre;2;oui;oui;bon
0<=X<200;42;critique/autre crédit existant;affaires;5954;<100;4<=X<7;2;femme div/dép/mariée;aucun;1;immobilier;41;banque;propriétaire;2;unqualifié resident;1;aucun;oui;bon
<0;36;existant remboursé;études;1977;épargne inconnue;>=7;4;homme célibataire;aucun;4;pas de propriété;40;aucun;propriétaire;1;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
<0;12;critique/autre crédit existant;voiture occasion;1526;<100;>=7;4;homme célibataire;aucun;4;pas de propriété;66;aucun;gratuit;2;hautement qualifié/indépendant/cadre;1;aucun;oui;bon
<0;42;existant remboursé;radio/tv;3965;<100;<1;4;homme célibataire;aucun;3;voiture;34;aucun;propriétaire;1;qualifié;1;aucun;oui;mauvais
0<=X<200;11;retards antérieurs;radio/tv;4771;<100;4<=X<7;2;homme célibataire;aucun;4;assurance vie;51;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
pas_de_compte;54;aucun crédit/tout remboursé;voiture occasion;9436;épargne inconnue;1<=X<4;2;homme célibataire;aucun;2;assurance vie;39;aucun;propriétaire;1;unqualifié resident;2;aucun;oui;bon
0<=X<200;30;existant remboursé;meubles/équipement;3832;<100;<1;2;homme marié/veuf;aucun;1;assurance vie;22;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
pas_de_compte;24;existant remboursé;radio/tv;5943;épargne inconnue;<1;1;femme div/dép/mariée;aucun;1;voiture;44;aucun;propriétaire;2;qualifié;1;oui;oui;mauvais
pas_de_compte;15;existant remboursé;radio/tv;1213;500<=X<1000;>=7;4;homme célibataire;aucun;3;assurance vie;47;magasins;propriétaire;1;qualifié;1;oui;oui;bon
pas_de_compte;18;existant remboursé;affaires;1568;100<=X<500;1<=X<4;3;femme div/dép/mariée;aucun;4;assurance vie;24;aucun;locataire;1;unqualifié resident;1;aucun;oui;bon
<0;24;existant remboursé;autre;1755;<100;>=7;4;femme div/dép/mariée;garant;4;immobilier;58;aucun;propriétaire;1;unqualifié resident;1;oui;oui;bon
<0;10;existant remboursé;radio/tv;2315;<100;>=7;3;homme célibataire;aucun;4;immobilier;52;aucun;propriétaire;1;unqualifié resident;1;aucun;oui;bon
pas_de_compte;12;critique/autre crédit existant;affaires;1412;<100;1<=X<4;4;femme div/dép/mariée;garant;2;immobilier;29;aucun;propriétaire;2;hautement qualifié/indépendant/cadre;1;oui;oui;bon
0<=X<200;18;critique/autre crédit existant;meubles/équipement;1295;<100;<1;4;femme div/dép/mariée;aucun;1;assurance vie;27;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
0<=X<200;36;existant remboursé;études;12612;100<=X<500;1<=X<4;1;homme célibataire;aucun;4;pas de propriété;47;aucun;gratuit;1;qualifié;2;oui;oui;mauvais
<0;18;existant remboursé;nouvelle voiture;2249;100<=X<500;4<=X<7;4;homme célibataire;aucun;3;voiture;30;aucun;propriétaire;1;hautement qualifié/indépendant/cadre;2;oui;oui;bon
<0;12;aucun crédit/tout remboursé;réparations;1108;<100;4<=X<7;4;homme célibataire;aucun;3;immobilier;28;aucun;propriétaire;2;qualifié;1;aucun;oui;mauvais
pas_de_compte;12;critique/autre crédit existant;radio/tv;618;<100;>=7;4;homme célibataire;aucun;4;immobilier;56;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
<0;12;critique/autre crédit existant;voiture occasion;1409;<100;>=7;4;homme célibataire;aucun;3;immobilier;54;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
pas_de_compte;12;critique/autre crédit existant;radio/tv;797;épargne inconnue;>=7;4;femme div/dép/mariée;aucun;3;assurance vie;33;banque;propriétaire;1;unqualifié resident;2;aucun;oui;mauvais
>=200;24;critique/autre crédit existant;meubles/équipement;3617;épargne inconnue;>=7;4;homme célibataire;co-emprunteur;4;pas de propriété;20;aucun;locataire;2;qualifié;1;aucun;oui;bon
0<=X<200;12;existant remboursé;nouvelle voiture;1318;>=1000;>=7;4;homme célibataire;aucun;4;immobilier;54;aucun;propriétaire;1;qualifié;1;oui;oui;bon
0<=X<200;54;aucun crédit/tout remboursé;affaires;15945;<100;<1;3;homme célibataire;aucun;4;pas de propriété;58;aucun;locataire;1;qualifié;1;oui;oui;mauvais
pas_de_compte;12;critique/autre crédit existant;études;2012;épargne inconnue;4<=X<7;4;femme div/dép/mariée;aucun;2;voiture;61;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
0<=X<200;18;existant remboursé;affaires;2622;100<=X<500;1<=X<4;4;homme célibataire;aucun;4;voiture;34;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
0<=X<200;36;critique/autre crédit existant;radio/tv;2337;<100;>=7;4;homme célibataire;aucun;4;immobilier;36;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
0<=X<200;20;retards antérieurs;voiture occasion;7057;épargne inconnue;4<=X<7;3;homme célibataire;aucun;4;assurance vie;36;banque;locataire;2;hautement qualifié/indépendant/cadre;2;oui;oui;bon
pas_de_compte;24;existant remboursé;nouvelle voiture;1469;100<=X<500;>=7;4;homme marié/veuf;aucun;4;immobilier;41;aucun;locataire;1;unqualifié resident;1;aucun;oui;bon
0<=X<200;36;existant remboursé;radio/tv;2323;<100;4<=X<7;4;homme célibataire;aucun;4;voiture;24;aucun;locataire;1;qualifié;1;aucun;oui;bon
pas_de_compte;6;retards antérieurs;radio/tv;932;<100;1<=X<4;3;femme div/dép/mariée;aucun;2;immobilier;24;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
0<=X<200;9;critique/autre crédit existant;meubles/équipement;1919;<100;4<=X<7;4;homme célibataire;aucun;3;voiture;35;aucun;locataire;1;qualifié;1;oui;oui;bon
pas_de_compte;12;existant remboursé;voiture occasion;2445;épargne inconnue;<1;2;homme marié/veuf;aucun;4;voiture;26;aucun;locataire;1;qualifié;1;oui;oui;bon
0<=X<200;24;critique/autre crédit existant;autre;11938;<100;1<=X<4;2;homme célibataire;co-emprunteur;3;voiture;39;aucun;propriétaire;2;hautement qualifié/indépendant/cadre;2;oui;oui;mauvais
pas_de_compte;18;tout remboursé;nouvelle voiture;6458;<100;>=7;2;homme célibataire;aucun;4;pas de propriété;39;banque;propriétaire;2;hautement qualifié/indépendant/cadre;2;oui;oui;mauvais
0<=X<200;12;existant remboursé;nouvelle voiture;6078;<100;4<=X<7;2;homme célibataire;aucun;2;voiture;32;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
<0;24;existant remboursé;meubles/équipement;7721;épargne inconnue;<1;1;femme div/dép/mariée;aucun;2;assurance vie;30;aucun;propriétaire;1;qualifié;1;oui;non;bon
0<=X<200;14;existant remboursé;affaires;1410;500<=X<1000;>=7;1;homme marié/veuf;aucun;2;immobilier;35;aucun;propriétaire;1;qualifié;1;oui;oui;bon
0<=X<200;6;retards antérieurs;affaires;1449;100<=X<500;>=7;1;homme divorcé/séparé;aucun;2;voiture;31;banque;propriétaire;2;qualifié;2;aucun;oui;bon
>=200;15;existant remboursé;études;392;<100;<1;4;femme div/dép/mariée;aucun;4;assurance vie;23;aucun;locataire;1;qualifié;1;oui;oui;bon
0<=X<200;18;existant remboursé;nouvelle voiture;6260;<100;4<=X<7;3;homme célibataire;aucun;3;immobilier;28;aucun;locataire;1;unqualifié resident;1;aucun;oui;bon
pas_de_compte;36;critique/autre crédit existant;nouvelle voiture;7855;<100;1<=X<4;4;femme div/dép/mariée;aucun;2;immobilier;25;magasins;propriétaire;2;qualifié;1;oui;oui;mauvais
<0;12;existant remboursé;radio/tv;1680;500<=X<1000;>=7;3;homme marié/veuf;aucun;1;immobilier;35;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
pas_de_compte;48;critique/autre crédit existant;radio/tv;3578;épargne inconnue;>=7;4;homme célibataire;aucun;1;immobilier;47;aucun;propriétaire;1;qualifié;1;oui;oui;bon
<0;42;existant remboursé;radio/tv;7174;épargne inconnue;4<=X<7;4;femme div/dép/mariée;aucun;3;voiture;30;aucun;propriétaire;1;hautement qualifié/indépendant/cadre;1;oui;oui;mauvais
<0;10;critique/autre crédit existant;meubles/équipement;2132;épargne inconnue;<1;2;femme div/dép/mariée;co-emprunteur;3;immobilier;27;aucun;locataire;2;qualifié;1;aucun;non;bon
<0;33;critique/autre crédit existant;meubles/équipement;4281;500<=X<1000;1<=X<4;1;femme div/dép/mariée;aucun;4;voiture;23;aucun;propriétaire;2;qualifié;1;aucun;oui;mauvais
0<=X<200;12;critique/autre crédit existant;nouvelle voiture;2366;500<=X<1000;4<=X<7;3;homme divorcé/séparé;aucun;3;voiture;36;aucun;propriétaire;1;hautement qualifié/indépendant/cadre;1;oui;oui;bon
<0;21;existant remboursé;radio/tv;1835;<100;1<=X<4;3;femme div/dép/mariée;aucun;2;immobilier;25;aucun;propriétaire;2;qualifié;1;oui;oui;mauvais
pas_de_compte;24;critique/autre crédit existant;voiture occasion;3868;<100;>=7;4;femme div/dép/mariée;aucun;2;voiture;41;aucun;locataire;2;hautement qualifié/indépendant/cadre;1;oui;oui;bon
pas_de_compte;12;existant remboursé;meubles/équipement;1768;<100;1<=X<4;3;homme célibataire;aucun;2;immobilier;24;aucun;locataire;1;unqualifié resident;1;aucun;oui;bon
>=200;10;critique/autre crédit existant;nouvelle voiture;781;<100;>=7;4;homme célibataire;aucun;4;pas de propriété;63;aucun;gratuit;2;qualifié;1;oui;oui;bon
0<=X<200;18;existant remboursé;meubles/équipement;1924;épargne inconnue;<1;4;femme div/dép/mariée;aucun;3;immobilier;27;aucun;locataire;1;qualifié;1;aucun;oui;mauvais
<0;12;critique/autre crédit existant;nouvelle voiture;2121;<100;1<=X<4;4;homme célibataire;aucun;2;assurance vie;30;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
<0;12;existant remboursé;radio/tv;701;<100;1<=X<4;4;homme marié/veuf;aucun;2;immobilier;40;aucun;propriétaire;1;unqualifié resident;1;aucun;oui;bon
0<=X<200;12;existant remboursé;réparations;639;<100;1<=X<4;4;homme célibataire;aucun;2;voiture;30;aucun;propriétaire;1;qualifié;1;aucun;oui;mauvais
0<=X<200;12;critique/autre crédit existant;voiture occasion;1860;<100;sans emploi;4;homme célibataire;aucun;2;voiture;34;aucun;propriétaire;2;hautement qualifié/indépendant/cadre;1;oui;oui;bon
<0;12;critique/autre crédit existant;nouvelle voiture;3499;<100;1<=X<4;3;femme div/dép/mariée;co-emprunteur;2;immobilier;29;aucun;propriétaire;2;qualifié;1;aucun;oui;mauvais
0<=X<200;48;existant remboursé;nouvelle voiture;8487;épargne inconnue;4<=X<7;1;femme div/dép/mariée;aucun;2;voiture;24;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
<0;36;retards antérieurs;études;6887;<100;1<=X<4;4;homme célibataire;aucun;3;assurance vie;29;magasins;propriétaire;1;qualifié;1;oui;oui;mauvais
pas_de_compte;15;existant remboursé;meubles/équipement;2708;<100;<1;2;homme célibataire;aucun;3;assurance vie;27;banque;propriétaire;2;unqualifié resident;1;aucun;oui;bon
pas_de_compte;18;existant remboursé;meubles/équipement;1984;<100;1<=X<4;4;homme célibataire;aucun;4;pas de propriété;47;banque;gratuit;2;qualifié;1;aucun;oui;bon
pas_de_compte;60;existant remboursé;radio/tv;10144;100<=X<500;4<=X<7;2;femme div/dép/mariée;aucun;4;immobilier;21;aucun;propriétaire;1;qualifié;1;oui;oui;bon
pas_de_compte;12;critique/autre crédit existant;radio/tv;1240;épargne inconnue;>=7;4;femme div/dép/mariée;aucun;2;immobilier;38;aucun;propriétaire;2;qualifié;1;oui;oui;bon
pas_de_compte;27;retards antérieurs;voiture occasion;8613;>=1000;1<=X<4;2;homme célibataire;aucun;2;voiture;27;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
0<=X<200;12;existant remboursé;radio/tv;766;500<=X<1000;1<=X<4;4;homme célibataire;aucun;3;immobilier;66;aucun;propriétaire;1;unqualifié resident;1;aucun;oui;mauvais
0<=X<200;15;critique/autre crédit existant;radio/tv;2728;épargne inconnue;4<=X<7;4;homme célibataire;garant;2;immobilier;35;banque;propriétaire;3;qualifié;1;oui;oui;bon
>=200;12;existant remboursé;radio/tv;1881;<100;1<=X<4;2;femme div/dép/mariée;aucun;2;voiture;44;aucun;locataire;1;unqualifié resident;1;oui;oui;bon
>=200;6;existant remboursé;nouvelle voiture;709;>=1000;<1;2;homme marié/veuf;aucun;2;immobilier;27;aucun;propriétaire;1;sans emploi/non qualif non résident;1;aucun;non;bon
0<=X<200;36;existant remboursé;radio/tv;4795;<100;<1;4;femme div/dép/mariée;aucun;1;pas de propriété;30;aucun;propriétaire;1;hautement qualifié/indépendant/cadre;1;oui;oui;bon
<0;27;existant remboursé;radio/tv;3416;<100;1<=X<4;3;homme célibataire;aucun;2;voiture;27;aucun;propriétaire;1;hautement qualifié/indépendant/cadre;1;aucun;oui;bon
<0;18;existant remboursé;meubles/équipement;2462;<100;1<=X<4;2;homme célibataire;aucun;2;voiture;22;aucun;propriétaire;1;qualifié;1;aucun;oui;mauvais
pas_de_compte;21;critique/autre crédit existant;meubles/équipement;2288;<100;<1;4;femme div/dép/mariée;aucun;4;assurance vie;23;aucun;propriétaire;1;qualifié;1;oui;oui;bon
0<=X<200;48;tout remboursé;affaires;3566;100<=X<500;4<=X<7;4;homme célibataire;aucun;2;voiture;30;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
<0;6;critique/autre crédit existant;nouvelle voiture;860;<100;>=7;1;femme div/dép/mariée;aucun;4;pas de propriété;39;aucun;propriétaire;2;qualifié;1;oui;oui;bon
pas_de_compte;12;critique/autre crédit existant;nouvelle voiture;682;100<=X<500;4<=X<7;4;femme div/dép/mariée;aucun;3;voiture;51;aucun;propriétaire;2;qualifié;1;oui;oui;bon
<0;36;critique/autre crédit existant;meubles/équipement;5371;<100;1<=X<4;3;homme célibataire;garant;2;assurance vie;28;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
